Place,County,Population,Population Density,Per_capita_income,median_household_income,median_family_income
Diablo Grande,Stanislaus,"1,083",211.8,"$33,285","$92,880","$92,609"
Diamond Bar,Los Angeles,"56,259","3,781.1","$34,539","$90,901","$95,500"
Diamond Springs,El Dorado,"12,105",727.4,"$24,922","$52,483","$68,474"
Dillon Beach,Marin,82,27.5,"$42,220","$44,417","$46,389"
Dinuba,Tulare,"22,828","3,528.3","$12,838","$38,509","$37,478"
Discovery Bay,Contra Costa,"14,315","2,272.2","$43,649","$112,063","$114,085"
Dixon,Solano,"18,718","2,626.0","$26,501","$66,818","$71,994"
Dixon Lane-Meadow Creek,Inyo,"2,447",728.3,"$27,392","$44,792","$72,394"
Dobbins,Yuba,658,84.9,"$19,331","$35,469","$48,182"
Dogtown,San Joaquin,"2,475",190.9,"$30,638","$68,281","$79,565"
Dollar Point,Placer,"1,076",658.1,"$44,872","$68,892","$87,500"
